GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,4,0,6,0,18,0,5,0,5,0,6,0,8,0,9,0,13,0,10,0,8,0,7,0,13,0,11,0,12,0,9,0,9,2,12,0,10,0,8,0,9,0,9,0,13,0,12,0,11,0,8,0,7,0,11,0,13,0,15,0,13,0,11,0,2,0,6,0,5,0,9,0,7,0,10,0,11,0,13,0,9,0,13,1,10,1,11,0,10,0,9,0,12,0,7,0,17,0,4,0,11,0,4,0,9,0,15,0,12,0,3,0,9,0,11,0,13,0,10,0,10,0,9,1,14,0,12,0,7,0,9,0,11,1,11,0,10,0,7,0,13,0,9,0,12,0,11,0,12,1,10,0,8,0,8,0,7,0,11,0,10,0,10,0,12,0,14,0,10,0,9,0,11,0,12,0,9,0,11,0,6,0,7,0,7,0,10,0,3,0,14,0,14,0,9,0,12,0,5
20.0,num_simulations=100,0,24,0,14,0,23,0,19,0,22,0,16,0,28,0,25,0,28,0,20,0,10,0,25,0,16,0,18,1,20,0,17,0,16,0,20,1,17,0,15,0,17,0,19,0,13,0,20,0,21,0,19,1,21,0,23,0,21,0,20,0,20,0,17,0,22,0,27,0,18,0,19,0,19,0,22,0,23,0,25,0,22,0,18,0,29,0,11,0,22,0,15,0,23,1,24,0,12,0,14,0,21,0,19,0,14,0,14,0,20,0,25,0,18,0,21,0,22,0,19,0,14,0,14,0,17,0,13,0,23,1,22,0,13,1,27,0,21,0,25,0,13,0,21,0,23,0,30,0,21,1,21,0,18,0,26,0,19,0,19,0,21,0,19,0,16,0,17,0,21,0,13,0,21,0,15,0,21,0,20,0,23,0,19,0,22,1,15,0,21,0,18,0,20,0,17,0,23,0,22
30.0,scale=1.0,0,36,0,32,0,23,0,44,0,34,0,29,1,29,0,26,0,30,0,20,0,39,0,29,0,24,0,27,0,36,0,21,0,35,0,20,0,31,0,21,0,36,0,32,1,35,1,31,0,32,0,28,0,24,0,24,0,29,0,26,0,29,0,32,0,28,0,19,0,33,1,25,0,26,0,30,0,27,0,31,0,27,1,34,0,40,1,37,0,34,0,33,0,26,0,31,0,26,0,27,0,24,0,32,1,35,0,28,1,39,0,28,0,24,1,32,0,31,0,26,1,19,0,29,0,36,0,37,1,29,0,21,0,36,0,26,0,24,0,28,0,33,0,31,0,28,1,31,0,24,0,31,0,27,0,30,0,31,1,28,0,18,0,34,0,25,0,31,0,26,0,32,0,40,0,22,0,35,0,31,0,34,0,30,0,28,1,24,0,29,0,24,0,26,0,31,0,31,0,29
40.0,cell_count=1000.0,3,50,0,31,0,39,0,40,0,38,0,32,0,37,0,37,1,26,0,29,0,47,1,39,0,46,0,49,0,43,0,43,0,52,0,29,0,37,0,32,0,42,0,48,0,37,1,47,1,39,0,36,0,38,1,47,3,52,0,35,0,53,0,44,0,46,0,44,0,50,0,45,0,40,0,41,0,42,0,36,0,32,0,35,0,40,0,34,0,30,0,36,0,35,1,37,1,39,0,41,0,31,0,44,0,48,0,39,0,46,0,48,0,53,0,34,1,46,0,39,0,38,0,35,0,50,1,38,0,43,0,39,0,36,0,32,0,39,0,46,0,39,0,42,0,44,0,41,0,42,0,35,0,37,1,43,0,35,0,32,0,33,0,39,0,35,0,31,1,43,0,39,0,47,0,40,2,35,0,57,0,33,0,38,0,44,0,35,0,44,0,40,0,43,0,40,1,46,0,35
50.0,muG=0.0,0,61,0,52,2,45,0,57,0,44,0,55,0,53,1,40,0,42,1,43,0,55,0,44,0,53,0,57,0,47,0,57,0,51,0,53,0,61,0,53,0,59,0,54,0,40,0,35,0,49,0,49,0,34,0,41,1,39,0,66,0,44,0,48,0,53,1,52,1,50,2,50,0,43,0,59,0,44,1,60,0,40,0,46,0,54,0,46,0,47,1,47,0,43,0,50,1,49,0,51,0,50,0,51,2,47,0,54,0,43,0,52,0,57,0,54,2,52,1,57,1,51,0,61,1,45,0,45,0,55,0,39,0,57,0,51,0,53,1,54,1,52,0,41,0,59,0,50,1,56,0,37,0,53,0,55,1,54,0,54,0,46,0,38,0,47,0,49,0,39,0,38,0,39,2,51,0,56,0,43,0,48,0,46,1,58,0,56,0,54,2,50,0,62,0,53,0,38,0,50
60.0,sigmaG=1.0,1,55,1,58,0,53,0,60,0,59,0,55,0,68,0,57,1,75,1,72,0,47,0,58,0,51,0,73,0,57,1,52,0,60,0,65,2,63,0,62,0,59,0,65,0,58,0,52,1,72,2,67,1,56,0,62,0,57,0,64,1,56,0,72,0,65,0,51,0,53,0,59,0,65,0,50,1,56,0,76,0,60,0,51,0,62,1,68,0,53,0,49,1,60,0,63,0,68,1,58,0,63,0,72,0,56,1,60,1,46,0,59,0,51,0,45,0,66,0,55,0,55,1,60,1,52,0,64,1,57,0,56,1,45,0,67,0,62,0,65,0,48,0,49,1,61,0,50,0,59,0,66,1,54,0,59,1,69,0,57,2,66,0,54,0,64,0,61,0,54,0,60,0,55,0,60,0,82,0,51,0,68,0,48,0,59,0,62,0,66,0,69,0,55,0,55,1,77,0,65
70.0,muR=12.0,1,75,0,68,0,64,0,69,1,72,1,63,3,69,1,76,0,74,1,82,0,58,0,63,0,62,0,72,0,68,0,71,1,90,0,84,0,58,1,76,1,73,1,78,0,64,0,69,2,79,0,80,0,73,0,72,1,76,0,57,0,59,0,74,0,65,0,63,2,78,0,71,0,83,0,78,0,67,1,77,1,82,0,61,0,66,0,81,0,57,1,59,0,62,0,58,1,75,0,75,0,65,1,70,1,72,0,79,0,76,0,78,0,67,0,61,1,74,0,64,0,64,0,60,0,80,1,71,1,89,0,56,0,79,0,58,0,69,0,62,0,80,0,68,0,63,0,64,2,81,0,58,0,60,0,55,0,68,0,72,1,73,2,79,0,70,0,79,0,61,1,83,0,74,0,58,1,70,1,72,0,64,1,69,2,63,0,73,2,55,1,76,0,75,0,68,1,60,0,86
80.0,sigmaR=1.0,0,88,1,72,2,76,1,92,1,82,1,71,0,59,1,81,1,84,0,94,0,83,0,101,1,87,1,87,0,82,0,79,1,77,0,79,0,88,0,75,1,79,0,81,1,100,0,61,0,80,0,74,2,74,0,76,1,78,0,65,0,90,0,84,0,67,0,86,1,82,0,93,1,72,1,79,0,61,1,86,0,81,2,87,0,73,2,97,0,68,0,83,0,88,1,75,0,82,0,78,1,74,2,89,0,81,0,86,0,67,1,66,1,82,1,82,0,69,1,90,0,83,1,51,0,78,0,82,0,73,0,76,0,76,1,73,0,87,0,77,0,87,2,87,1,88,0,79,1,68,0,73,2,83,2,82,1,83,0,73,0,95,0,84,2,70,0,82,1,69,1,82,0,77,1,79,0,87,0,83,0,76,1,80,1,74,0,82,0,70,0,79,0,71,0,70,0,62,0,85
90.0,gamma=0.45,1,114,0,91,0,98,0,75,0,83,0,80,1,87,0,99,1,103,0,106,1,89,0,102,1,76,0,93,0,90,2,95,0,83,0,97,0,84,2,94,0,92,1,88,0,88,0,86,1,105,0,90,0,109,2,80,0,82,0,101,1,81,0,93,0,95,1,95,0,81,0,95,0,89,0,99,0,101,0,86,0,88,0,105,0,96,0,114,1,89,0,83,0,108,0,95,0,91,0,86,0,89,0,95,0,81,1,96,0,103,1,81,1,85,0,78,1,89,1,98,0,81,1,99,1,83,0,80,0,80,0,87,0,85,0,100,0,69,2,99,0,95,1,92,0,86,0,95,0,98,0,90,0,98,0,103,0,89,1,91,1,65,0,76,0,105,1,81,0,87,1,116,0,89,0,107,1,85,0,103,0,89,0,80,0,98,1,84,0,85,0,98,0,95,0,73,0,95,0,83
100.0,vMax=1000.0,0,95,1,89,0,111,0,112,1,92,0,111,0,114,1,108,0,104,0,102,1,93,3,92,0,98,0,103,0,99,0,101,1,95,1,110,0,102,0,81,0,99,1,122,2,101,0,105,0,97,0,97,0,113,1,82,1,100,1,95,0,106,1,95,0,91,2,106,1,84,1,85,2,88,0,86,0,92,1,111,1,110,0,114,0,96,0,97,0,113,0,91,1,89,0,105,0,124,0,96,0,98,0,100,0,106,0,88,1,105,1,104,0,96,0,101,0,103,0,105,0,92,0,94,0,96,0,107,0,72,0,109,1,100,0,101,0,111,2,94,0,97,0,96,0,105,1,91,0,111,0,100,0,112,0,87,0,103,1,103,0,105,1,108,0,94,0,100,1,99,0,85,1,86,1,89,0,95,1,92,0,94,0,89,1,94,0,91,0,99,2,101,1,90,0,105,1,91,0,101
